house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mass,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,3115.084133,8579.2,1.394727462,315.3598316,3489.813971,HYD200-HYD200
Mass,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,1653.979839,4836.604067,0.792413449,166.5055894,3081.780882,HYD200-HYD200
Mod,Nom,Ideal,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,1996.689932,5682.108333,0.772374759,175.0857448,3734.535561,HYD500-HYD500
Mod,H1,Ideal,AK,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,1488.140171,4551.9,0.606931233,127.761376,3596.723061,HYD500-HYD500
Mod,Nom,Real,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,1871.940006,5366.191667,0.79126803,165.6404594,3734.535561,HYD500-HYD500
Mod,H1,Real,AK,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,1458.944503,4475,0.618433889,125.6089552,3596.723061,HYD500-HYD500
Mod,Nom,Ideal,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,5055.565128,13284.6,1.957461102,489.7483865,4503.660561,HYD500-HYD500
Mod,H1,Ideal,CH,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,4271.829486,10820.7582,1.734112991,404.9735559,3734.535561,HYD500-HYD500
Mod,Nom,Real,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,4196.709437,11285.16667,2.063902132,413.3721078,4503.660561,HYD500-HYD500
Mod,H1,Real,CH,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,3783.747161,9721.674188,1.833904964,362.3159789,3734.535561,HYD500-HYD500
Mass,Nom,Ideal,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,1642.991014,4743.425,0.505475755,147.8915208,3157.035561,HYD500-HYD500
Mass,H1,Ideal,AK,2024,Hhigh,HYD500,5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,866.7385825,2826.214744,0.20771687,71.73127579,3117.660561,HYD500-HYD500
Mass,Nom,Real,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,1524.861021,4445.358333,0.526276635,138.1258628,3157.035561,HYD500-HYD500
Mass,H1,Real,AK,2024,Hhigh,HYD500,5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-AK-3-HYD500-HYD500-Crenew-2024-Hhigh,863.2290662,2817.384522,0.211090662,71.40274319,3117.660561,HYD500-HYD500
Mass,Nom,Ideal,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,3436.013527,9118.433333,1.087179575,341.2338071,3985.223061,HYD500-HYD500
Mass,H1,Ideal,CH,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,1519.04094,4275.5,0.523798502,146.3534656,3117.660561,HYD500-HYD500
Mass,Nom,Real,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,2901.780121,7895.066667,1.190017464,292.3855051,3985.223061,HYD500-HYD500
Mass,H1,Real,CH,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,3,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-CH-3-HYD500-HYD500-Crenew-2024-Hhigh,1464.406358,4154.6,0.571271725,141.3332491,3117.660561,HYD500-HYD500
Mod,Nom,Ideal,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,2137.20697,6155.558333,0.769150369,187.8118752,3734.535561,HYD500-HYD500
Mod,H1,Ideal,AK,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,1620.763253,5025.4,0.598416902,139.6868063,3596.723061,HYD500-HYD500
Mod,Nom,Real,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,2012.471117,5839.641667,0.776754898,178.4464687,3734.535561,HYD500-HYD500
Mod,H1,Real,AK,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,1591.579908,4948.2,0.60768959,137.579889,3596.723061,HYD500-HYD500
Mod,Nom,Ideal,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,5194.025925,13759.43333,1.953181335,502.9835888,4503.660561,HYD500-HYD500
Mod,H1,Ideal,CH,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,4427.356492,11295.2088,1.731994659,419.5867211,3734.535561,HYD500-HYD500
Mod,Nom,Real,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,4335.117132,11760,2.04123726,426.6645738,4503.660561,HYD500-HYD500
Mod,H1,Real,CH,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,3939.205329,10195.80951,1.844441566,377.0606083,3734.535561,HYD500-HYD500
Mass,Nom,Ideal,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,1784.087803,5216.591667,0.499047376,160.9022878,3157.035561,HYD500-HYD500
Mass,H1,Ideal,AK,2024,Hhigh,HYD500,5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,1005.280939,3298.001156,0.171339525,84.3027185,3117.660561,HYD500-HYD500
Mass,Nom,Real,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,1665.735534,4918.383333,0.518292936,151.158627,3157.035561,HYD500-HYD500
Mass,H1,Real,AK,2024,Hhigh,HYD500,5,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-AK-4-HYD500-HYD500-Crenew-2024-Hhigh,1001.814515,3289.349767,0.170466676,84.01109425,3117.660561,HYD500-HYD500
Mass,Nom,Ideal,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,3575.523329,9593.266667,1.059325057,354.5905344,3985.223061,HYD500-HYD500
Mass,H1,Ideal,CH,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,1665.893505,4748.4,0.51436088,159.9059112,3117.660561,HYD500-HYD500
Mass,Nom,Real,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,3040.44087,8369.666667,1.172748982,305.6569549,3985.223061,HYD500-HYD500
Mass,H1,Real,CH,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,4,HYD500,500,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-CH-4-HYD500-HYD500-Crenew-2024-Hhigh,1611.3712,4627.2,0.558493618,155.0200152,3117.660561,HYD500-HYD500
