house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mod,H1,Ideal,AK,Hlow,HYD500-HYD500,5,NA,NA,38631.520229,3303.8363489999997,NA,NA,3596.723061,6900.55941
Mod,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,96429.19907,6222.9184404,NA,NA,4359.762834,10582.6812744
Mod,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,99820.847276,6385.8653017,NA,NA,4359.762834,10745.6281357
Mod,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,103353.200019,6592.0506327,NA,NA,4359.762834,10951.813466700001
Mod,H1,Ideal,CH,Hhigh,HYD200-HYD200,3,NA,NA,87983.873634,6185.4906597,NA,NA,3698.655882,9884.1465417
Mod,H1,Ideal,CH,Hhigh,HYD200-HYD200,4,NA,NA,90960.790782,6343.233454499999,NA,NA,3698.655882,10041.8893365
Mod,H1,Ideal,CH,Hhigh,HYD200-HYD200,5,NA,NA,94062.547643,6525.880961,NA,NA,3698.655882,10224.536843
Mod,H1,Ideal,CH,Hhigh,HYD500-HYD500,3,NA,NA,93943.34693,6277.6398136,NA,NA,3734.535561,10012.1753746
Mod,H1,Ideal,CH,Hhigh,HYD500-HYD500,4,NA,NA,97380.558254,6451.8342619000005,NA,NA,3734.535561,10186.3698229
Mod,H1,Ideal,CH,Hhigh,HYD500-HYD500,5,NA,NA,100943.722587,6660.3925143999995,NA,NA,3734.535561,10394.9280754
Mod,H1,Ideal,CH,Hlow,HYD1000-HYD1000,3,NA,NA,96442.949899,9235.4763729,NA,NA,4359.762834,13595.239206900002
Mod,H1,Ideal,CH,Hlow,HYD1000-HYD1000,4,NA,NA,99834.585389,9426.217975,NA,NA,4359.762834,13785.980809
Mod,H1,Ideal,CH,Hlow,HYD1000-HYD1000,5,NA,NA,103365.507907,9661.1452061,NA,NA,4359.762834,14020.9080401
Mod,H1,Ideal,CH,Hlow,HYD200-HYD200,3,NA,NA,87987.584417,9057.2296039,NA,NA,3698.655882,12755.885485899998
Mod,H1,Ideal,CH,Hlow,HYD200-HYD200,4,NA,NA,90962.648144,9242.3582626,NA,NA,3698.655882,12941.014144600002
Mod,H1,Ideal,CH,Hlow,HYD200-HYD200,5,NA,NA,94066.028731,9448.6920955,NA,NA,3698.655882,13147.347977500001
Mod,H1,Ideal,CH,Hlow,HYD500-HYD500,3,NA,NA,93949.460263,9230.5529117,NA,NA,3734.535561,12965.088472700001
Mod,H1,Ideal,CH,Hlow,HYD500-HYD500,4,NA,NA,97386.146732,9431.4132996,NA,NA,3734.535561,13165.948860600001
Mod,H1,Ideal,CH,Hlow,HYD500-HYD500,5,NA,NA,100950.47276,9663.2591684,NA,NA,3734.535561,13397.7947294
Mod,H1,Real,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,33739.458635,1749.04920932,NA,NA,4221.950334,5970.99954332
Mod,H1,Real,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,36774.313359,1875.58042008,NA,NA,4221.950334,6097.53075408
Mod,H1,Real,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,39826.061435,2040.09208416,NA,NA,4221.950334,6262.04241816
Mod,H1,Real,AK,Hhigh,HYD200-HYD200,3,NA,NA,32143.810666999998,2010.4272292599999,NA,NA,3101.313971,5111.7412002599995
Mod,H1,Real,AK,Hhigh,HYD200-HYD200,4,NA,NA,35277.09233,2165.8262545,NA,NA,3101.313971,5267.140225499999
Mod,H1,Real,AK,Hhigh,HYD200-HYD200,5,NA,NA,38542.846953,2356.01841,NA,NA,3101.313971,5457.332381
Mod,H1,Real,AK,Hhigh,HYD500-HYD500,3,NA,NA,31976.813921,1845.53565605,NA,NA,3596.723061,5442.25871705
