house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,5525,2024,852.8202344,2756.466233,3.314617615,554.2117651,0.316562303,75.80638466,0.088889055,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,75.80638466,155.88302805,852.8202344,0.316562303
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,5541,2024,991.5411753,3230.228633,3.328999861,548.6700004,0.329206714,88.63827665,0.089394449,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,88.63827665,155.88302805,991.5411753,0.329206714
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,5557,2024,1132.093393,3705.5308,3.335664702,545.413947,0.379134606,100.5928441,0.088855606,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,100.5928441,155.88302805,1132.093393,0.379134606
Mass,H1,Real,AK,Hhigh,R,NA,NA,7,NA,NA,2024,420,2024,530.2778946,530.2778946,NA,NA,0.329818026,53.11507944,0.100164612,NA,NA,NA,NA,C0,NA,NA,NA,NA,1057.411765,53.11507944,52.870588250000004,530.2778946,0.329818026
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,2,NA,NA,2024,408,2024,78.51358348,78.51358348,NA,NA,0.037782231,8.659291771,0.110290365,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,8.659291771,26.43529412,78.51358348,0.037782231
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,5,NA,NA,2024,396,2024,451.7643111,451.7643111,NA,NA,0.292035795,44.45578767,0.098404824,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,44.45578767,26.43529412,451.7643111,0.292035795
Mass,H1,Real,AK,Hlow,HP,NA,NA,NA,6.5,NA,2024,901,2024,133.3106768,530.2778946,3.977760125,NA,0.081080262,20.888649,0.156691493,NA,NA,NA,NA,C0,NA,NA,NA,NA,858.0044118,20.888649,42.900220589999996,133.3106768,0.081080262
Mass,H1,Real,AK,Hlow,HPl,NA,NA,NA,5,NA,2024,709,2024,120.2443884,451.7643111,3.757051095,NA,0.075756903,18.44737018,0.153415643,NA,NA,NA,NA,C0,NA,NA,NA,NA,741.1764706,18.44737018,37.05882353,120.2443884,0.075756903
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,5717,2024,945.1301733,3060.524044,3.312545639,861.4321648,0.345131064,118.1330144,0.124991263,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,118.1330144,187.1443917,945.1301733,0.345131064
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,5733,2024,1083.054517,3530.518789,3.324895917,852.1081541,0.36446211,131.4920391,0.121408514,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,131.4920391,187.1443917,1083.054517,0.36446211
