house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mod,H1,Ideal,AK,Hhigh,HYD500-HYD500,3,NA,NA,32676.036689999997,2117.55909515,NA,NA,3596.723061,5714.28215615
Mod,H1,Ideal,AK,Hhigh,HYD500-HYD500,4,NA,NA,35612.074695999996,2265.9417231,NA,NA,3596.723061,5862.6647841
Mod,H1,Ideal,AK,Hhigh,HYD500-HYD500,5,NA,NA,38692.465834,2441.21787185,NA,NA,3596.723061,6037.9409328500005
Mod,H1,Ideal,AK,Hlow,HYD1000-HYD1000,3,NA,NA,34026.753948,3209.9301176,NA,NA,4221.950334,7431.8804516
Mod,H1,Ideal,AK,Hlow,HYD1000-HYD1000,4,NA,NA,37057.75766,3383.2502454,NA,NA,4221.950334,7605.2005794
Mod,H1,Ideal,AK,Hlow,HYD1000-HYD1000,5,NA,NA,40145.47075,3584.809482,NA,NA,4221.950334,7806.759816
Mod,H1,Ideal,AK,Hlow,HYD200-HYD200,3,NA,NA,32767.945936,3164.4807083,NA,NA,3101.313971,6265.7946793
Mod,H1,Ideal,AK,Hlow,HYD200-HYD200,4,NA,NA,35895.467872,3339.2061905,NA,NA,3101.313971,6440.5201615000005
Mod,H1,Ideal,AK,Hlow,HYD200-HYD200,5,NA,NA,39137.202676,3549.2423124,NA,NA,3101.313971,6650.5562834
Mod,H1,Ideal,AK,Hlow,HYD500-HYD500,3,NA,NA,32676.036689999997,3154.509735,NA,NA,3596.723061,6751.232796
Mod,H1,Ideal,AK,Hlow,HYD500-HYD500,4,NA,NA,35612.074695999996,3324.6950791,NA,NA,3596.723061,6921.4181401000005
Mod,H1,Ideal,AK,Hlow,HYD500-HYD500,5,NA,NA,38692.465834,3526.26384,NA,NA,3596.723061,7122.986901
Mod,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,96761.634904,6710.9347037,NA,NA,4359.762834,11070.6975377
Mod,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,100210.13503599999,6898.1904931,NA,NA,4359.762834,11257.9533271
Mod,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,103765.35004,7112.7162901,NA,NA,4359.762834,11472.4791241
Mod,H1,Ideal,CH,Hhigh,HYD200-HYD200,3,NA,NA,87919.231224,6221.006469,NA,NA,3698.655882,9919.662350999999
Mod,H1,Ideal,CH,Hhigh,HYD200-HYD200,4,NA,NA,90887.81262000001,6376.4949223,NA,NA,3698.655882,10075.1508043
Mod,H1,Ideal,CH,Hhigh,HYD200-HYD200,5,NA,NA,93948.54042199999,6548.5004586,NA,NA,3698.655882,10247.156340599999
Mod,H1,Ideal,CH,Hhigh,HYD500-HYD500,3,NA,NA,94047.54761600001,6522.8233666,NA,NA,3734.535561,10257.3589276
