house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2240.1751218,34622.811982,3433.2714702,5673.446592
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2416.0333102,36185.089996,3472.7391171,5888.7724273
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2576.4053039,39300.023862,3472.7391171,6049.144421
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2760.9591201,42554.627918,3472.7391171,6233.6982372
Mass,Nom,Ideal,AK,Hhigh,R,NA,NA,11,NA,NA,4165.5700016,53939.751448,1163.1529415,5328.7229431
Mass,Nom,Ideal,AK,Hhigh,Rb,NA,NA,4,NA,NA,1485.58596881,19534.358210399998,581.5764706399999,2067.16243945
Mass,Nom,Ideal,AK,Hhigh,Rl,NA,NA,7,NA,NA,2679.9840325,34405.39322,581.5764706399999,3261.56050314
Mass,Nom,Ideal,AK,Hlow,HP,NA,NA,NA,11,NA,1551.95501459,13703.316690800002,1464.1510982999998,3016.10611289
Mass,Nom,Ideal,AK,Hlow,HPl,NA,NA,NA,7,NA,928.67003401,8443.2140738,990.9950956399999,1919.66512965
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,3413.0246126,36540.548704,4160.4891174,7573.513730000001
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3593.6657326,39488.448956,4160.4891174,7754.154850000001
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3802.9620331,42581.87087,4160.4891174,7963.451150500001
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2807.1079176,29446.025686,3433.2714702,6240.3793878
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2950.6323283,31972.075014000002,3433.2714702,6383.9037984999995
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,3125.1438926,34622.811982,3433.2714702,6558.4153628
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3398.9192070999998,36185.089996,3472.7391171,6871.6583242
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3580.5267043,39300.023862,3472.7391171,7053.2658214
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3793.5904196,42554.627918,3472.7391171,7266.3295367
Mass,Nom,Ideal,AK,Hlow,R,NA,NA,11,NA,NA,6078.9774863,53939.751448,1163.1529415,7242.130427800001
Mass,Nom,Ideal,AK,Hlow,Rb,NA,NA,4,NA,NA,2311.55372995,19534.358210399998,581.5764706399999,2893.13020059
Mass,Nom,Ideal,AK,Hlow,Rl,NA,NA,7,NA,NA,3767.4237562,34405.39322,581.5764706399999,4349.000226839999
Mass,Nom,Ideal,CH,Hhigh,HP,NA,NA,NA,15.5,NA,3395.2849198,43791.25267,2271.378912,5666.6638318000005
Mass,Nom,Ideal,CH,Hhigh,HPl,NA,NA,NA,8.5,NA,1626.9823405,21211.789665,1147.2006975,2774.183038
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,5733.9856376,79938.377574,4860.8777205999995,10594.8633582
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,5905.919171699999,82949.218154,4860.8777205999995,10766.796892299999
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,6097.5894926,86061.892928,4860.8777205999995,10958.4672132
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,14,200,5232.5380742,74105.24539,3838.7953681,9071.3334423
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,14,200,5386.5180335,77159.748622,3838.7953681,9225.3134016
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,14,200,5566.9370902,80357.655268,3838.7953681,9405.7324583
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,14,500,5390.6573564,76033.12057,4383.7453671,9774.4027235
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,14,500,5550.2966888,79092.320714,4383.7453671,9934.042055900001
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,14,500,5735.9298770000005,82292.374648,4383.7453671,10119.6752441
Mass,Nom,Ideal,CH,Hhigh,R,NA,NA,15.5,NA,NA,11249.2301745,148650.203724,1163.1529415,12412.383116
Mass,Nom,Ideal,CH,Hhigh,Rb,NA,NA,7,NA,NA,5592.7126386,72701.98958,581.5764706399999,6174.28910924
Mass,Nom,Ideal,CH,Hhigh,Rl,NA,NA,8.5,NA,NA,5656.5175362,75948.214144,581.5764706399999,6238.09400684
Mass,Nom,Ideal,CH,Hlow,HP,NA,NA,NA,15.5,NA,4592.5366927,43791.25267,2271.378912,6863.9156047
Mass,Nom,Ideal,CH,Hlow,HPl,NA,NA,NA,8.5,NA,2119.28065924,21211.789665,1147.2006975,3266.48135674
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,7738.5372976,79938.377574,4860.8777205999995,12599.4150182
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,7934.7657690000005,82949.218154,4860.8777205999995,12795.6434896
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,8147.8393577,86061.892928,4860.8777205999995,13008.7170783
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,3,NA,14,200,7093.183861099999,74105.24539,3838.7953681,10931.979229199998
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,4,NA,14,200,7271.7807415,77159.748622,3838.7953681,11110.576109599999
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,5,NA,14,200,7479.8432867,80357.655268,3838.7953681,11318.638654800001
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,3,NA,14,500,7277.4252764,76033.12057,4383.7453671,11661.170643500001
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,4,NA,14,500,7460.2359028,79092.320714,4383.7453671,11843.9812699
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,5,NA,14,500,7672.3198461,82292.374648,4383.7453671,12056.0652132
Mass,Nom,Ideal,CH,Hlow,R,NA,NA,15.5,NA,NA,15103.3465487,148650.203724,1163.1529415,16266.4994902
Mass,Nom,Ideal,CH,Hlow,Rb,NA,NA,7,NA,NA,7755.073661,72701.98958,581.5764706399999,8336.65013164
Mass,Nom,Ideal,CH,Hlow,Rl,NA,NA,8.5,NA,NA,7348.2728884,75948.214144,581.5764706399999,7929.849359039999
Mass,Nom,Real,AK,Hhigh,HP,NA,NA,NA,11,NA,938.119721,11830.8485262,1464.1510982999998,2402.2708193
Mass,Nom,Real,AK,Hhigh,HPl,NA,NA,NA,7,NA,660.20121923,8448.2486066,990.9950956399999,1651.19631487
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2275.0867053,34023.398002,4160.4891174,6435.575822700001
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2433.55393635,36965.352666,4160.4891174,6594.043053750001
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2616.6744871,40055.95011,4160.4891174,6777.1636045000005
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1811.56523771,27043.339136000002,3433.2714702,5244.83670791
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,1933.94400123,29565.749488,3433.2714702,5367.2154714299995
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2084.1542747999997,32217.745757999997,3433.2714702,5517.425745
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2249.135116,33572.85525,3472.7391171,5721.874233099999
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2410.1631414,36687.996928,3472.7391171,5882.9022585
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2594.4394857,39940.95435,3472.7391171,6067.178602800001
Mass,Nom,Real,AK,Hhigh,R,NA,NA,11,NA,NA,3746.941795,47388.904244000005,1163.1529415,4910.0947365
Mass,Nom,Real,AK,Hhigh,Rb,NA,NA,4,NA,NA,1064.76703929,12965.6475894,581.5764706399999,1646.34350993
Mass,Nom,Real,AK,Hhigh,Rl,NA,NA,7,NA,NA,2682.1747559,34423.256647999995,581.5764706399999,3263.75122654
Mass,Nom,Real,AK,Hlow,HP,NA,NA,NA,11,NA,1324.32919096,11830.8485262,1464.1510982999998,2788.48028926
Mass,Nom,Real,AK,Hlow,HPl,NA,NA,NA,7,NA,929.67919701,8448.2486066,990.9950956399999,1920.67429265
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,3105.4112696,34023.398002,4160.4891174,7265.900387000001
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3283.6654518,36965.352666,4160.4891174,7444.1545692
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3492.2355298,40055.95011,4160.4891174,7652.724647200001
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2519.30821275,27043.339136000002,3433.2714702,5952.57968295
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2662.1665051,29565.749488,3433.2714702,6095.437975299999
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,2837.7144931,32217.745757999997,3433.2714702,6270.9859633
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3086.2110874,33572.85525,3472.7391171,6558.9502045
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3267.869139,36687.996928,3472.7391171,6740.6082561
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3481.3865104,39940.95435,3472.7391171,6954.1256275
Mass,Nom,Real,AK,Hlow,R,NA,NA,11,NA,NA,5284.7399906,47388.904244000005,1163.1529415,6447.8929321
Mass,Nom,Real,AK,Hlow,Rb,NA,NA,4,NA,NA,1513.43289997,12965.6475894,581.5764706399999,2095.00937061
Mass,Nom,Real,AK,Hlow,Rl,NA,NA,7,NA,NA,3771.3070907,34423.256647999995,581.5764706399999,4352.88356134
Mass,Nom,Real,CH,Hhigh,HP,NA,NA,NA,15.5,NA,2777.1608131,34682.742138,2271.378912,5048.5397250999995
