house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,2801.0417641999998,36610.677549,4160.4891174,6961.5308816
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3003.5860738,39645.809511,4160.4891174,7164.0751912000005
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2472.0134464000002,27058.467683000003,3433.2714702,5905.2849166
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2620.9151478,29590.616428,3433.2714702,6054.186618
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,2800.6858172,32255.319081,3433.2714702,6233.9572874000005
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,2830.7592887,33465.682041,3472.7391171,6303.4984058
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3005.1363045,36573.825472,3472.7391171,6477.8754216
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3218.825326,39829.386674,3472.7391171,6691.5644431
Mass,Nom,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,4301.9848034999995,65689.818924,4860.8777205999995,9162.862524099999
Mass,Nom,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,4457.9788403,68683.111061,4860.8777205999995,9318.8565609
Mass,Nom,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,4642.7975678,71840.754134,4860.8777205999995,9503.6752884
Mass,Nom,Real,CH,Hhigh,HYD200,HYD200,3,NA,14,200,4370.5169813,62279.620868,3838.7953681,8209.3123494
Mass,Nom,Real,CH,Hhigh,HYD200,HYD200,4,NA,14,200,4529.4702984,65346.747774,3838.7953681,8368.2656665
Mass,Nom,Real,CH,Hhigh,HYD200,HYD200,5,NA,14,200,4718.4994238,68570.846419,3838.7953681,8557.2947919
Mass,Nom,Real,CH,Hhigh,HYD500,HYD500,3,NA,14,500,4307.3660476000005,63839.893689,4383.7453671,8691.1114147
Mass,Nom,Real,CH,Hhigh,HYD500,HYD500,4,NA,14,500,4468.085194400001,66908.301909,4383.7453671,8851.8305615
Mass,Nom,Real,CH,Hhigh,HYD500,HYD500,5,NA,14,500,4660.2425358,70166.707457,4383.7453671,9043.9879029
Mass,Nom,Real,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,5863.931531,65716.89266499999,4860.8777205999995,10724.8092516
Mass,Nom,Real,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,6050.0092482,68712.827568,4860.8777205999995,10910.8869688
Mass,Nom,Real,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,6265.1333874,71867.852318,4860.8777205999995,11126.011107999999
Mass,Nom,Real,CH,Hlow,HYD200,HYD200,3,NA,14,200,5801.516670399999,62282.316269,3838.7953681,9640.3120385
Mass,Nom,Real,CH,Hlow,HYD200,HYD200,4,NA,14,200,5986.1438299,65352.641511,3838.7953681,9824.939198
Mass,Nom,Real,CH,Hlow,HYD200,HYD200,5,NA,14,200,6201.1113641,68573.110598,3838.7953681,10039.906732200001
Mass,Nom,Real,CH,Hlow,HYD500,HYD500,3,NA,14,500,5782.4344582,63850.31363999999,4383.7453671,10166.179825300002
Mass,Nom,Real,CH,Hlow,HYD500,HYD500,4,NA,14,500,5967.729540599999,66919.393957,4383.7453671,10351.4749077
