house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,2024,3961,2024,1611.3712,4627.2,3.0057426,676.9891228,0.558493618,219.7797103,0.136392974,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,219.7797103,155.88302805,1611.3712,0.558493618
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,2024,3977,2024,1763.480631,5100.1,3.015022897,672.9379147,0.649711223,236.8486152,0.134307466,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,236.8486152,155.88302805,1763.480631,0.649711223
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2024,3842,2024,1653.951782,5086.9,3.269469118,961.8426572,0.498686386,144.9290514,0.087625923,0,0,0,0,Crenew,6,1585.376471,1120.636364,1076.25,3782.262834,144.9290514,189.1131417,1653.951782,0.498686386
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2024,3858,2024,1785.927606,5556.6,3.292106792,952.8162182,0.497622402,156.758288,0.087774156,0,0,0,0,Crenew,6,1585.376471,1120.636364,1076.25,3782.262834,156.758288,189.1131417,1785.927606,0.497622402
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2024,3874,2024,1925.857303,6025.6,3.296667775,945.8890778,0.534193591,168.9826457,0.087744116,0,0,0,0,Crenew,6,1585.376471,1120.636364,1076.25,3782.262834,168.9826457,189.1131417,1925.857303,0.534193591
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,3746,2024,1339.190912,4495.833333,3.622404178,369.6131824,0.472032013,124.2016625,0.092743806,1.413761014,1,-334.0585165,81,Crenew,12,2044.905882,0,1076.25,3121.155882,124.2016625,156.0577941,1339.190912,0.472032013
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,3762,2024,1454.009316,4973.833333,3.668188998,368.0492412,0.469113809,135.0020656,0.092848144,30.14143843,4,-104.3552492,42,Crenew,12,2044.905882,0,1076.25,3121.155882,135.0020656,156.0577941,1454.009316,0.469113809
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,3778,2024,1574.880649,5452.5,3.692083615,366.9352849,0.565222699,145.3466635,0.092290589,0,0,-174.4726033,70,Crenew,12,2044.905882,0,1076.25,3121.155882,145.3466635,156.0577941,1574.880649,0.565222699
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2024,3794,2024,1642.991014,4743.425,3.070339481,618.057711,0.505475755,147.8915208,0.090013591,0,0,0,0,Crenew,9,1585.376471,495.4090909,1076.25,3157.035561,147.8915208,157.85177805,1642.991014,0.505475755
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2024,3810,2024,1784.087803,5216.591667,3.094035364,612.6165162,0.499047376,160.9022878,0.090187427,0,0,0,0,Crenew,9,1585.376471,495.4090909,1076.25,3157.035561,160.9022878,157.85177805,1784.087803,0.499047376
