house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,895.6219794848013,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,728.390251,14.55723013,86.55247726999998,0,1737.7942530818013,1737.7942530818013,61516.05064132212
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,157.50326433299347,1814.3390296115833,239.0053865,10.46295479,1.367578355,12.423650609999997,0,12.423650609999997,0,6248.774369,221.5911942,4.575650373,27.59470672,0,420.76283458799344,420.76283458799344,13028.935307385027
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,738.118715151808,9503.274760860771,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,1317.031418483808,1317.031418483808,48487.1153329341
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,335.57309833250395,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820780999998,480.35241140000005,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,3160.383274122504,2220.951814932504,58498.26683991478
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,291.48707394393745,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,1909.5287172639373,1496.3325520839371,34037.41027282127
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1564.2681721223137,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7933.499767122312,7475.203706922312,264528.7898023372
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1726.170447705424,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,8095.402042705422,7637.105982505423,274961.5306496916
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1924.2732716313549,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,8293.504866631354,7835.208806431355,285522.5569257536
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1404.8566431978786,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7140.506236697878,6537.5779072978785,215625.79177828753
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1563.4077658197293,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7299.05735931973,6696.12902991973,226305.62482968107
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1771.1289742892707,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7506.778567789272,6903.850238389271,237458.97071144
