house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Real,AK,Hlow,HP,NA,NA,NA,6.5,NA,302.331714616782,2799.5242136790635,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820780999998,480.35241140000005,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,3127.1418904067823,2187.710431216782,58298.51641815707
Mass,H1,Real,AK,Hlow,HPl,NA,NA,NA,4.5,NA,267.39764265846355,2525.132156077758,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,1885.4392859784634,1472.2431207984632,34021.97498392431
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1433.0520623523178,19402.300207433036,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7802.283657352316,7343.987597152317,264275.0259331275
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1577.6019004089965,22298.711426755555,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7946.833495408995,7488.537435208996,274693.7713263739
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1756.7759200889452,25234.974504637903,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,8126.007515088944,7667.711454888945,285255.8687288285
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1282.905845469652,16916.942367876603,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7018.555438969652,6415.627109569652,215379.6083339151
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1423.099842211472,19886.79254878942,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7158.749435711472,6555.821106311472,226062.5226537454
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1609.548573877971,22988.113776428952,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7345.198167377972,6742.269837977971,237218.35440784442
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,1301.6685645751531,17463.79149147242,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7201.600588075153,6743.304527875153,237019.61496921733
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,1441.169591190372,20376.931250719426,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7341.101614690371,6882.805554490372,247498.5349665087
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,1614.265665220845,23328.527821193657,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7514.197688720844,7055.9016285208445,258115.78881713544
Mass,H1,Real,AK,Hlow,R,NA,NA,7,NA,NA,1200.2635556934115,11135.835785899315,762.7565478000001,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,728.390251,14.55723013,86.55247726999998,0,2042.4358292904117,2042.4358292904117,60862.17292703062
