house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Embodied_life,Total_life,Embodied_life_R,Total_life_R
Mass,H1,Ideal,CH,Hlow,HP-R,3,1403.77717592,2659.9941347,54868.649480399996,4063.77131062,0.342511423,1248.729155,256.9411765,1505.6703315,27.85017653,4.540375906,32.39055243599999,57.68823529,5.311764706,62.999999996,186.0058824,28.41176471,214.41764711,922.7647059,0,922.7647059,24.31814684,28.41176471,52.72991155,302.1295587,0,302.1295587,2738.243236942,6802.014547561999,1955.920354182,6019.691664802
Mass,H1,Ideal,CH,Hlow,HP-R,4,1403.77717592,3469.3364966,69625.34948040001,4873.1136725199995,0.342511423,1248.729155,442.2352941,1690.9644491,27.85017653,6.558320753,34.408497282999996,57.68823529,6.176470588,63.864705878,186.0058824,42,228.0058824,922.7647059,0,922.7647059,24.31814684,42,66.31814684,302.1295587,0,302.1295587,2940.008240561,7813.121913081,2157.685357801,7030.799030320999
Mass,H1,Ideal,CH,Hlow,HP-R,5,1403.77717592,4077.2639721,79650.7494804,5481.04114802,0.342511423,1248.729155,442.2352941,1690.9644491,27.85017653,6.558320753,34.408497282999996,57.68823529,6.176470588,63.864705878,186.0058824,42,228.0058824,922.7647059,0,922.7647059,24.31814684,42,66.31814684,302.1295587,0,302.1295587,2940.008240561,8421.049388581,2157.685357801,7638.726505821
Mass,H1,Ideal,CH,Hlow,HP-Ro,1,1403.77717592,1333.75435005,34307.549480400005,2737.53152597,0.342511423,1248.729155,237.17647059999996,1485.9056256,27.85017653,4.116960628,31.967137157999996,57.68823529,5.311764706,62.999999996,186.0058824,25.94117647,211.94705886999998,922.7647059,0,922.7647059,24.31814684,25.94117647,50.25932331,302.1295587,0,302.1295587,2715.584527524,5453.116053494,1933.2616447639998,4670.793170733999
Mass,H1,Ideal,CH,Hlow,HP-Ro,2,1403.77717592,1955.45709008,44297.249480399994,3359.234266,0.342511423,1248.729155,237.17647059999996,1485.9056256,27.85017653,4.116960628,31.967137157999996,57.68823529,5.311764706,62.999999996,186.0058824,25.94117647,211.94705886999998,922.7647059,0,922.7647059,24.31814684,25.94117647,50.25932331,302.1295587,0,302.1295587,2715.584527524,6074.818793524,1933.2616447639998,5292.495910764
Mass,H1,Ideal,CH,Hlow,HP-Ro,3,1403.77717592,2741.1539941,56221.049480400005,4144.93117002,0.342511423,1248.729155,302.6470588,1551.3762138,27.85017653,5.170983671,33.021160201,57.68823529,5.311764706,62.999999996,186.0058824,32.11764706,218.12352946,922.7647059,0,922.7647059,24.31814684,32.11764706,56.43579390000001,302.1295587,0,302.1295587,2788.285609357,6933.2167793769995,2005.9627265969998,6150.893896616999
Mass,H1,Ideal,CH,Hlow,HP-Ro,4,1403.77717592,3620.9828902,72061.34948040001,5024.7600661199995,0.342511423,1248.729155,578.1176471,1826.8468020999999,27.85017653,7.693414729,35.543591259,57.68823529,6.176470588,63.864705878,186.0058824,49.41176471,235.41764711,922.7647059,0,922.7647059,24.31814684,49.41176471,73.72991155,302.1295587,0,302.1295587,3084.4374522470002,8109.197518367,2302.114569487,7326.874635607
Mass,H1,Ideal,CH,Hlow,HP-Ro,5,1403.77717592,4226.5431392,82076.2494804,5630.32031512,0.342511423,1248.729155,578.1176471,1826.8468020999999,27.85017653,7.693414729,35.543591259,57.68823529,6.176470588,63.864705878,186.0058824,49.41176471,235.41764711,922.7647059,0,922.7647059,24.31814684,49.41176471,73.72991155,302.1295587,0,302.1295587,3084.4374522470002,8714.757767367,2302.114569487,7932.434884607
Mass,H1,Ideal,CH,Hlow,HPl_Rb-HP,1,2596.10304546,343.49208635,27350.5448685,2939.5951318099997,0.542809216,1132.4287749999999,593.0885628,1725.5173378,32.06208133,19.54861298,51.61069430999999,26.555713291999997,11.48823529,38.043948582,109.18984118,66.38408824,175.57392942,583.0588235,276.7058824,859.7647059,21.619752720999998,66.38408824,88.003840961,216.89426459999999,276.7058824,493.600147,2850.510616012,5790.105747821999,2396.775968653,5336.3711004629995
Mass,H1,Ideal,CH,Hlow,HPl_Rb-HP,2,2596.10304546,503.08567324,29832.0533784,3099.1887187,0.542809216,1132.4287749999999,593.0885628,1725.5173378,32.06208133,19.54861298,51.61069430999999,26.555713291999997,11.48823529,38.043948582,109.18984118,66.38408824,175.57392942,583.0588235,276.7058824,859.7647059,21.619752720999998,66.38408824,88.003840961,216.89426459999999,276.7058824,493.600147,2850.510616012,5949.699334712001,2396.775968653,5495.964687353
