hour_of_day,day_of_week,month,kWh
21,0,2,5159000.000000001
22,0,2,5010999.999999999
23,0,2,4573000
0,0,2,4239000
1,1,2,3960000
2,1,2,3783000
3,1,2,3663000.0000000005
4,1,2,3617000
5,1,2,3682000
6,1,2,4020000.0000000005
7,1,2,4651999.999999999
8,1,2,5289000
9,1,2,5413000
10,1,2,5427000
11,1,2,5353999.999999999
12,1,2,5354000
13,1,2,5330999.999999999
14,1,2,5287000
15,1,2,5288000
16,1,2,5265000.000000001
17,1,2,5335000
18,1,2,5395000
19,1,2,5368000
20,1,2,5174000
21,1,2,5087000
22,1,2,4997999.999999999
23,1,2,4577999.999999999
0,1,2,4227000
1,2,2,3925000
2,2,2,3735999.9999999995
3,2,2,3656000
4,2,2,3617000
5,2,2,3675000
6,2,2,4016000
7,2,2,4629000
8,2,2,5280000
9,2,2,5386000
10,2,2,5348000
11,2,2,5263999.999999999
12,2,2,5238000
13,2,2,5204000.000000001
14,2,2,5179000
15,2,2,5192000
16,2,2,5170999.999999999
17,2,2,5236000.000000001
18,2,2,5302000
19,2,2,5294000.000000001
20,2,2,5146000
21,2,2,5090999.999999999
22,2,2,5005000
23,2,2,4593000
0,2,2,4276000
1,3,2,3965000
2,3,2,3794000
3,3,2,3687000.0000000005
4,3,2,3639000.0000000005
5,3,2,3686000
6,3,2,4002000
7,3,2,4656000.000000001
8,3,2,5308000
9,3,2,5415000
10,3,2,5423000
11,3,2,5363000
