hour_of_year,Base_2024,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045
162,0,4030.212278,1166102.163,1782559.966,2105507.172,2386755.462,4030.212278,877227.3607,1183390.838,1618533.064,1868657.946
163,0,6354.226811,1174916.305,1615467.801,1856635.791,2087135.471,6354.226811,882031.2718,1193052.344,1496165.648,1752008.607
164,0,9932.624665,685276.7635,926358.6494,1053297.279,1188123.87,9932.624665,505308.4397,699389.8342,853762.9696,1023506.549
165,0,12556.2952,444661.9961,620133.6547,707652.0555,789277.79,12556.2952,337201.4177,456450.5642,575590.2684,664934.9812
166,0,2677.10786,288218.0729,364296.4947,420512.4484,451796.3933,2677.10786,234855.0681,292175.6377,344726.4503,419187.2217
167,0,1244.484358,128206.7298,206769.7911,264789.2603,281882.3922,1244.484358,114034.927,129619.7144,173639.3366,265593.2942
168,0,731.4976207,307504.5651,540869.9432,700518.8058,737218.3161,731.4976207,291228.6557,308990.0909,466991.7644,634964.3048
169,0,1329.607414,385983.2205,946419.0896,1245697.6,1369130.201,1329.607414,347509.1775,389758.5892,774279.5261,1005547.9
170,0,1260.464536,377627.0629,882208.5456,1158904.851,1266600.705,1260.464536,344166.2025,380959.4073,728993.735,944278.6066
171,0,1414.220943,233136.5,525837.9984,694616.2557,756299.3386,1414.220943,213009.1125,235424.3127,427670.1006,594675.6209
172,0,1708.989492,89247.02328,189072.5637,245277.8869,268905.8963,1708.989492,79390.44998,90785.11242,158954.4307,204228.898
173,0,4962.442712,85087.07686,159999.6055,203925.8033,220750.4155,4962.442712,77102.78925,88088.91878,139340.8809,173234.8122
174,0,4448.056256,49647.12539,96302.32796,122174.1067,134795.2175,4448.056256,42830.29396,52294.11247,82122.21623,105416.4098
175,0,11144.71128,68874.33122,121851.8228,153300.6722,164717.8779,11144.71128,62726.6949,74826.47885,105125.6969,141394.7909
176,0,18869.41205,89215.1107,158417.1432,200985.7887,216527.8257,18869.41205,82482.90498,99077.78562,135464.4519,188423.5966
177,0,35800.03368,218253.1689,382809.0616,497105.6422,528585.5551,35800.03368,207856.5747,236869.5441,320431.3839,484075.7348
178,0,37741.19063,135259.5702,199875.982,248337.203,279119.8537,37741.19063,120978.3155,154877.5167,185881.7207,222835.8961
179,0,35265.14088,132820.2568,200609.5107,248779.9908,275154.8377,35265.14088,121330.0366,151069.4012,187365.1936,219352.5431
180,0,63256.94248,238028.3897,351473.5259,431087.1795,462759.9363,63256.94248,222883.622,270455.005,328090.0336,397289.9131
181,0,72328.89852,402809.072,554252.6216,681197.9778,742681.1588,72328.89852,370604.3694,440566.2061,540863.1808,587610.5771
182,0,61692.63426,451570.0804,613527.0911,742340.7217,782622.9615,61692.63426,413621.8065,484269.1307,583439.9083,700063.2688
183,0,30349.06277,481902.1284,643773.852,785164.7096,837295.2422,30349.06277,430927.1242,499573.2358,612749.2862,731690.261
184,0,21592.60615,436441.1758,646558.7029,812866.7708,875604.1165,21592.60615,397421.274,449313.784,602061.8313,714814.2068
185,0,20853.26496,396970.4364,613000.3785,765289.7027,802783.8401,20853.26496,374214.0104,408701.2297,572357.5148,661503.661
186,0,15505.11913,508470.4653,781942.2012,964464.7147,1026844.416,15505.11913,457704.0675,519004.7253,725799.8687,838841.171
187,0,45237.81908,570089.5087,801608.4647,951989.4402,1000044.782,45237.81908,509176.1011,595814.8423,766774.9069,858991.5634
188,0,55509.13106,497925.7657,805255.8254,987128.4309,1056606.66,55509.13106,452167.95,528307.7291,746630.7814,837925.3023
189,0,74517.40142,461952.7458,772599.3162,959025.0305,1020749.992,74517.40142,436770.5671,500824.0301,715190.8108,803091.3149
190,0,94411.35973,480310.7097,811193.1367,1005925.681,1073789.452,94411.35973,454962.8484,529167.7997,748613.9646,845467.4865
191,0,95530.13067,412782.7655,785767.05,963427.1297,1041643.451,95530.13067,374755.1609,463057.6782,701154.283,800917.7293
192,0,82939.22219,364940.3251,609164.8155,726657.8295,796289.6692,82939.22219,312022.4875,409378.2528,550954.0187,644426.9722
193,0,55324.39289,306253.5723,853819.6894,1106257.952,1249483.609,55324.39289,254271.4355,337776.0912,683069.7785,880203.1439
194,0,76017.96398,335799.941,962472.9066,1234964.545,1392364.356,76017.96398,279327.6814,378091.835,776563.3634,962170.0686
195,0,45140.65687,143168.8704,443722.409,571901.4979,648270.9881,45140.65687,118004.3711,167711.7653,350404.6067,450605.8406
196,0,29346.44344,132158.6352,837008.6652,1127764.325,1329308.397,29346.44344,73239.84545,151722.2268,602242.7738,805854.2193
197,0,31262.39184,101722.5399,516595.1886,686129.3832,803770.5344,31262.39184,65471.24863,120281.0563,380774.3729,501386.8279
198,0,15950.84654,96000.02884,524981.1289,705118.5589,828228.3819,15950.84654,58542.5651,107015.8802,383013.0828,508416.6784
199,0,25163.43679,110463.4738,745310.6198,1005795.475,1189444.99,25163.43679,56926.73082,127485.7735,534344.0015,711600.6879
