year,capacity_mw,scenario,site_name,weather_area,weather_file
2033,43.247,Environmental,Generic Wind #62,CKS1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CKS1.csv
2034,31.753,Environmental,Generic Wind #62,CKS1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CKS1.csv
2029,100,Environmental,Generic Wind #75,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2037,57.397,Environmental,Generic Wind #76,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2038,67.603,Environmental,Generic Wind #76,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2040,88.627,Environmental,Generic Wind #80,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2041,46.458,Environmental,Generic Wind #80,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2043,11.766,Environmental,Generic Wind #80,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2045,38,Environmental,Generic Wind #80,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2046,15.149,Environmental,Generic Wind #80,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
