hour_of_year,Reference_2025,Environmental_2025,Reference_2030,Environmental_2030,Reference_2035,Environmental_2035,Reference_2040,Environmental_2040,Reference_2045,Environmental_2045
6703,98218.70462909847,98218.70462909847,964349.34435545,1252847.720548127,351917.85749678704,373544.55286017375,242082.0289855345,275127.92254669726,210629.07702672223,267424.26454152167
6704,99319.46828858973,99319.46828858973,866944.1452450348,1114722.7476341727,309687.0147381364,330655.99100752344,211135.93887661985,255552.84300100023,191872.483727775,237443.99991074132
6705,97955.04277305177,97955.04277305177,495264.7025349155,589310.3003906471,147796.6238342789,268248.0228211756,179302.7258375516,226179.1879145666,80587.77151550462,160340.17471104435
6706,94157.22735165925,94157.22735165925,578434.1181837203,678955.2503021966,152649.53340356165,286450.8334630419,188517.6884380586,253312.61875998465,134396.27490870882,161053.65930557833
6707,91323.64409244279,91323.64409244279,877868.2530138143,1094051.5972967234,272325.2948911635,272074.24678242416,174858.34229026455,253843.31136726282,202839.25521179335,204441.17014525383
6708,94371.26393949486,94371.26393949486,697973.3372466422,850714.7367947856,207287.7760917128,223599.99957565745,147983.17722822173,221053.53822513166,128425.67885363205,167265.97004783517
6709,92912.78859222027,92912.78859222027,563801.4968009704,635187.6469953032,121320.16105471243,245299.53733938234,160197.6881684935,249277.63121750345,141934.92862586447,133355.50676598796
6710,79414.64205745909,79414.64205745909,726093.5355625954,886941.790851929,208388.10678382588,250782.34634089126,168656.61310561403,238541.3090152663,154160.62144712327,176682.94358467916
6711,91775.5441645974,91775.5441645974,716723.5000865128,858985.6805993089,195190.65256732886,305590.05260497134,197615.7310877277,271206.7113775048,189460.98009539512,177396.88538222076
6712,95234.60923450545,95234.60923450545,610588.5269309684,729264.2949733457,172190.22310600462,275924.33375372,183296.0646397232,244045.84698828388,124612.60691170878,167123.3028125146
6713,88727.68138933595,88727.68138933595,515809.1569864089,629777.4077586691,164640.87931768983,459497.9085487195,300343.7827541785,306252.9848796453,166613.15209408867,211597.04054817077
6714,99562.67365083644,99562.67365083644,483036.51899656845,620150.1674492533,194516.56778197025,501635.47668434994,316629.7437449998,308025.4415030671,178929.4021028662,240462.17578107968
6715,99671.12790104844,99671.12790104844,356178.25187319727,485250.87928794976,185582.5553676766,258020.6173089809,143904.2244335273,132309.6773093539,103838.30684406492,136606.53380027117
