house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2024,2024,1460.356447,4689.9,0.664721049,137.3349628,0.094042083,3.211476218,867.7767729,0,0,0,0,6,1509.882353,1090.909091,1025,3625.791444,137.3349628,181.2895722,1460.356447,0.664721049
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2024,2024,1594.081659,5161.4,0.687688722,149.9559201,0.094070413,3.237851694,859.9534724,0,0,0,0,6,1509.882353,1090.909091,1025,3625.791444,149.9559201,181.2895722,1594.081659,0.687688722
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2024,2024,1734.563361,5636,0.764436049,162.2947585,0.093565195,3.249232704,856.0742083,0,0,0,0,6,1509.882353,1090.909091,1025,3625.791444,162.2947585,181.2895722,1734.563361,0.764436049
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,2024,1137.156683,4152,0.489656424,107.5174841,0.094549402,3.651211889,324.3365717,240.8136602,70,-547.2774773,105,12,1947.529412,0,1025,2972.529412,107.5174841,148.6264706,1137.156683,0.489656424
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,2024,1251.625666,4629.5,0.475438711,118.1896349,0.0944289,3.698789603,322.9700032,687.3473362,115,-373.3272563,100,12,1947.529412,0,1025,2972.529412,118.1896349,148.6264706,1251.625666,0.475438711
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,2024,1371.991621,5108,0.578452069,128.4426123,0.093617636,3.723054807,321.8918214,692.4884632,129,-553.1329992,136,12,1947.529412,0,1025,2972.529412,128.4426123,148.6264706,1371.991621,0.578452069
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2024,2024,1439.877231,4387.133333,0.644129324,135.6125735,0.094183428,3.046880137,561.5294237,0,0,0,0,9,1509.882353,409.0909091,1025,2943.973262,135.6125735,147.1986631,1439.877231,0.644129324
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2024,2024,1581.47458,4862.283333,0.666960929,148.8568888,0.094125376,3.074525127,557.4205736,0,0,0,0,9,1509.882353,409.0909091,1025,2943.973262,148.8568888,147.1986631,1581.47458,0.666960929
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2024,2024,1729.336281,5339.133333,0.757476103,161.4810596,0.093377477,3.087388724,555.370064,0,0,0,0,9,1509.882353,409.0909091,1025,2943.973262,161.4810596,147.1986631,1729.336281,0.757476103
Mass,Nom,Real,AK,Hhigh,R,NA,NA,11,NA,NA,2024,2024,2154.041102,2154.041102,1.146034572,220.2137289,0.102232835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.058824,220.2137289,50.3529412,2154.041102,1.146034572
Mass,Nom,Real,AK,Hhigh,Rb,NA,NA,4,NA,NA,2024,2024,589.3476177,589.3476177,0.283944288,61.01968371,0.103537678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,61.01968371,25.17647059,589.3476177,0.283944288
Mass,Nom,Real,AK,Hhigh,Rl,NA,NA,7,NA,NA,2024,2024,1564.693484,1564.693484,0.862090283,159.1940452,0.101741361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,159.1940452,25.17647059,1564.693484,0.862090283
Mass,Nom,Real,AK,Hlow,HP,NA,NA,NA,11,NA,2024,2024,537.7658421,2154.041102,0.282427366,89.27258983,0.166006434,4.005537231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267.663289,89.27258983,63.38316445,537.7658421,0.282427366
Mass,Nom,Real,AK,Hlow,HPl,NA,NA,NA,7,NA,2024,2024,384.0113003,1564.693484,0.208881673,62.96418946,0.163964418,4.074602708,NA,NA,NA,NA,NA,NA,NA,NA,NA,858.0044118,62.96418946,42.900220589999996,384.0113003,0.208881673
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,2024,2024,1460.356447,4689.9,0.664721049,203.9749371,0.139674761,3.211476218,867.7767729,0,0,0,0,6,1509.882353,1090.909091,1025,3625.791444,203.9749371,181.2895722,1460.356447,0.664721049
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,2024,2024,1594.081659,5161.4,0.687688722,217.2448565,0.136282138,3.237851694,859.9534724,0,0,0,0,6,1509.882353,1090.909091,1025,3625.791444,217.2448565,181.2895722,1594.081659,0.687688722
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,2024,2024,1734.563361,5636,0.764436049,233.0186876,0.134338527,3.249232704,856.0742083,0,0,0,0,6,1509.882353,1090.909091,1025,3625.791444,233.0186876,181.2895722,1734.563361,0.764436049
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,2024,1137.156683,4152,0.489656424,164.2951449,0.144478898,3.651211889,324.3365717,240.8136602,70,-547.2774773,105,12,1947.529412,0,1025,2972.529412,164.2951449,148.6264706,1137.156683,0.489656424
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,2024,1251.625666,4629.5,0.475438711,175.6194824,0.140313104,3.698789603,322.9700032,687.3473362,115,-373.3272563,100,12,1947.529412,0,1025,2972.529412,175.6194824,148.6264706,1251.625666,0.475438711
