house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,CS_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,Crenew,NA,11.2,200,2536.748943331775,37831.4338776494,3228.5323532,5765.281296531775
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,C0,NA,6,500,2321.07349848495,33555.78813772984,3197.1205882,5518.19408668495
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,Cpeak,NA,6,500,2316.8875326977713,33544.158803154314,3197.1205882,5514.008120897772
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,Crenew,NA,6,500,2039.7613409599444,33313.828562375864,3197.1205882,5236.881929159945
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,C0,NA,6,500,2489.664307999825,36805.05743246086,3197.1205882,5686.784896199824
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,Cpeak,NA,6,500,2484.900507562122,36793.86791388034,3197.1205882,5682.021095762122
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,Crenew,NA,6,500,2198.18762103656,36552.78834487609,3197.1205882,5395.30820923656
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,C0,NA,6,500,2682.1506057142906,40174.33140008265,3197.1205882,5879.27119391429
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,Cpeak,NA,6,500,2677.6100704959213,40164.27159838784,3197.1205882,5874.730658695921
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,Crenew,NA,6,500,2392.985048049476,39912.908131583004,3197.1205882,5590.105636249476
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,C0,8.5,NA,NA,3541.980606,42210.315576,1107.7647064,4649.7453124
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,C0,3.5,NA,NA,1316.88267442,14706.6724156,553.8823529800001,1870.7650274000002
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,C0,5,NA,NA,2225.09793125,27503.643156000002,553.8823529800001,2778.98028423
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,C0,NA,8.5,NA,1494.68322216,12855.5423128,1092.5720929200002,2587.2553150800004
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,C0,NA,5,NA,916.57154355,8341.1845242,776.47058819,1693.04213174
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,C0,NA,5,1000,3462.414696226399,37267.6171632569,3947.1205884,7409.5352846263995
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,Cpeak,NA,5,1000,3458.6744035063666,37243.553621698964,3947.1205884,7405.794991906367
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,Crenew,NA,5,1000,2947.3833356768055,36701.1198037352,3947.1205884,6894.503924076806
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,C0,NA,5,1000,3667.1045101091986,40566.65311699963,3947.1205884,7614.225098509199
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,Cpeak,NA,5,1000,3663.0552127946335,40544.98741914113,3947.1205884,7610.175801194633
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,Crenew,NA,5,1000,3124.0937553112212,40013.25927006443,3947.1205884,7071.214343711221
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,C0,NA,5,1000,3884.0299700248934,43868.67048047704,3947.1205884,7831.1505584248935
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,Cpeak,NA,5,1000,3879.8094156143206,43843.91984853197,3947.1205884,7826.930004014321
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,Crenew,NA,5,1000,3339.367862252031,43302.4063607687,3947.1205884,7286.488450652031
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,C0,NA,11.2,200,3045.777617881131,31749.620233814523,3228.5323532,6274.309971081131
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,Cpeak,NA,11.2,200,3042.6578904187486,31736.532805841634,3228.5323532,6271.190243618748
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,Crenew,NA,11.2,200,2995.196209834633,31736.000239831792,3228.5323532,6223.728563034633
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,C0,NA,11.2,200,3225.6361683500504,34716.25291215367,3228.5323532,6454.168521550051
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,Cpeak,NA,11.2,200,3222.5694031264584,34703.95000112781,3228.5323532,6451.101756326459
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,Crenew,NA,11.2,200,3181.306049634118,34719.54388455851,3228.5323532,6409.838402834119
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,C0,NA,11.2,200,3428.91694271227,37804.16902825506,3228.5323532,6657.449295912271
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,Cpeak,NA,11.2,200,3423.5890015749765,37777.75560873426,3228.5323532,6652.121354774977
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,Crenew,NA,11.2,200,3388.1968954067106,37835.11762064647,3228.5323532,6616.729248606711
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,C0,NA,6,500,3094.8462499621683,33555.78813772984,3197.1205882,6291.966838162169
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,Cpeak,NA,6,500,3091.971014615464,33544.158803154314,3197.1205882,6289.091602815464
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,Crenew,NA,6,500,2832.8232292135435,33322.37874429248,3197.1205882,6029.943817413543
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,C0,NA,6,500,3287.383608902274,36805.05743246086,3197.1205882,6484.504197102274
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,Cpeak,NA,6,500,3283.9965423050767,36793.86791388034,3197.1205882,6481.117130505077
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,Crenew,NA,6,500,3019.1209165234773,36561.957844021235,3197.1205882,6216.241504723477
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,C0,NA,6,500,3503.2835061845994,40174.33140008265,3197.1205882,6700.404094384599
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,Cpeak,NA,6,500,3500.1071903122383,40164.27159838784,3197.1205882,6697.227778512239
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,Crenew,NA,6,500,3237.0551771750643,39922.13468503766,3197.1205882,6434.175765375065
